No	sitiran 1	case	sitiran 2	bentuk	acuan	speaker 3	speaker mdl dede	speaker 2	jender 1	file 1	File 2	Kesantunan	makna kesantunan	katagori bentuk 1	Fungsi 1	Fungsi 2	Fungsi 3	Fungsi 4	katagori ProN 1	katagori ProN 2	katagori ProN 3	Pronomina Unmarked	Pronomina Inklusif / eksklusif	Formal/informal	jender kuMtul
21	. entah karena apa  juga tidak tau. apakah karena hoki dan lain  sebagainya	ia	selalu berganti nama belakang. ia  juga pandai bernyanyi sinden ataupun menirukan  suara	ia	Rina	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah SHow	SI F  13   HF.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
22	tau. apakah karena hoki dan lain  sebagainya ia selalu berganti nama belakang.	ia	juga pandai bernyanyi sinden ataupun menirukan  suara seseorang. (bernyanyi). Ebiet G.Ade,	ia	Rina	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah SHow	SI F  13   HF.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
23	G.Ade) ahahahaha.  hidungya yang pesek tidak membuatnya minder.  menurutnya, rezeki yang	ia	peroleh datang  karena hidungnya yang pesek itu. mari kita  sambut Rina Nose. (	ia	Rina	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah SHow	SI F  13   HF.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
26	saya  sudah gag najis lagi doro)  nadin sehat?( Nadine sehat  selalu) aduhh	ia	cantik gapyak, gapyak itu apa ya bahasa  Indonesia nya?, (nadin gapyak itu	ia	Rina	NA	older_female_host -> younger_guest (HF > G)	younger guest	HF	So Imah SHow	SI M  17   HF.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
27	depan (SI M  17, 138 M Vicki dia cuman minum air laut aja (nadin	ia	kebanyakan minum  air laut begini) (SI M  17, 148 M Ki  kusomo  saya minta	ia	Rina	NA	younger_male_guest -> older_host (M < H)	younger than Host	M	So Imah SHow	SI M  17   M.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
28	doro, mereka baru ketauan gossip-gosip  doang” (SI M 17, PH M 33 Yadi  ‘’	ia	masa kagak tau sih (berarti langsung kita panggil) ini  cowok dulu ( oh	ia	NA	NA	younger_female_guest -> older_host (F < H)	younger guest	PH M	So Imah SHow	SI M  17   PH M.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Keakraban	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	NA
29	terumbu karangnya, kayak kemarin tuch  kan sempet ada kasus paus terdampar tch, (	ia	ada tch  deket rumah saya tch di bantul ada paus terdampar) ia	ia	Rina	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	So Imah SHow	SI M  17  F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
30	, ( ia ada tch  deket rumah saya tch di bantul ada paus terdampar)	ia	nah  itu kan nanya kenapha koq bisa terdampar seperti itu? Tapi  gara-	ia	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	So Imah SHow	SI M  17  F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
31	tarik suara dan aktingpun  semakin mantap. terbukti dengan berbagai penghargaan  yang sering	ia	terima dalam dan luar negeri seakan  membuktikan bakat yang ia miliki. kerja	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 6  HM  edit  juli.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
32	yang sering ia terima dalam dan luar negeri seakan  membuktikan bakat yang	ia	miliki. kerja keras,  perjuangan dan kegighan adalah kunci popularitas yang  ia dapatkan. 21	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 6  HM  edit  juli.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
